dexNum,name,baseName,type1,type2,total,hp,atk,def,spa,spd,spe
1,Bulbasaur,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45
2,Ivysaur,Ivysaur,Grass,Poison,405,60,62,63,80,80,60
3,Venusaur,Venusaur,Grass,Poison,525,80,82,83,100,100,80
3,Mega Venusaur,Venusaur,Grass,Poison,625,80,100,123,122,120,80
4,Charmander,Charmander,Fire,,309,39,52,43,60,50,65
5,Charmeleon,Charmeleon,Fire,,405,58,64,58,80,65,80
6,Charizard,Charizard,Fire,Flying,534,78,84,78,109,85,100
6,Mega Charizard X,Charizard,Fire,Dragon,634,78,130,111,130,85,100
6,Mega Charizard Y,Charizard,Fire,Flying,634,78,104,78,159,115,100
7,Squirtle,Squirtle,Water,,314,44,48,65,50,64,43
8,Wartortle,Wartortle,Water,,405,59,63,80,65,80,58
9,Blastoise,Blastoise,Water,,530,79,83,100,85,105,78
9,Mega Blastoise,Blastoise,Water,,630,79,103,120,135,115,78
10,Caterpie,Caterpie,Bug,,195,45,30,35,20,20,45
11,Metapod,Metapod,Bug,,205,50,20,55,25,25,30
12,Butterfree,Butterfree,Bug,Flying,395,60,45,50,90,80,70
13,Weedle,Weedle,Bug,Poison,195,40,35,30,20,20,50
14,Kakuna,Kakuna,Bug,Poison,205,45,25,50,25,25,35
15,Beedrill,Beedrill,Bug,Poison,395,65,90,40,45,80,75
15,Mega Beedrill,Beedrill,Bug,Poison,495,65,150,40,15,80,145
16,Pidgey,Pidgey,Normal,Flying,251,40,45,40,35,35,56
17,Pidgeotto,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71
18,Pidgeot,Pidgeot,Normal,Flying,479,83,80,75,70,70,101
18,Mega Pidgeot,Pidgeot,Normal,Flying,579,83,80,80,135,80,121
19,Rattata,Rattata,Normal,,253,30,56,35,25,35,72
19,Alolan Rattata,Rattata,Dark,Normal,253,30,56,35,25,35,72
20,Raticate,Raticate,Normal,,413,55,81,60,50,70,97
20,Alolan Raticate,Raticate,Dark,Normal,413,75,71,70,40,80,77
21,Spearow,Spearow,Normal,Flying,262,40,60,30,31,31,70
22,Fearow,Fearow,Normal,Flying,442,65,90,65,61,61,100
23,Ekans,Ekans,Poison,,288,35,60,44,40,54,55
24,Arbok,Arbok,Poison,,448,60,95,69,65,79,80
25,Pikachu,Pikachu,Electric,,320,35,55,40,50,50,90
25,Pikachu (Partner Pikachu),Pikachu,Electric,,430,45,80,50,75,60,120
26,Raichu,Raichu,Electric,,485,60,90,55,90,80,110
26,Alolan Raichu,Raichu,Electric,Psychic,485,60,85,50,95,85,110
27,Sandshrew,Sandshrew,Ground,,300,50,75,85,20,30,40
27,Alolan Sandshrew,Sandshrew,Ice,Steel,300,50,75,90,10,35,40
28,Sandslash,Sandslash,Ground,,450,75,100,110,45,55,65
28,Alolan Sandslash,Sandslash,Ice,Steel,450,75,100,120,25,65,65
29,Nidoran♀,Nidoran♀,Poison,,275,55,47,52,40,40,41
30,Nidorina,Nidorina,Poison,,365,70,62,67,55,55,56
31,Nidoqueen,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76
32,Nidoran♂,Nidoran♂,Poison,,273,46,57,40,40,40,50
33,Nidorino,Nidorino,Poison,,365,61,72,57,55,55,65
34,Nidoking,Nidoking,Poison,Ground,505,81,102,77,85,75,85
35,Clefairy,Clefairy,Fairy,,323,70,45,48,60,65,35
36,Clefable,Clefable,Fairy,,483,95,70,73,95,90,60
37,Vulpix,Vulpix,Fire,,299,38,41,40,50,65,65
37,Alolan Vulpix,Vulpix,Ice,,299,38,41,40,50,65,65
38,Ninetales,Ninetales,Fire,,505,73,76,75,81,100,100
38,Alolan Ninetales,Ninetales,Ice,Fairy,505,73,67,75,81,100,109
39,Jigglypuff,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20
40,Wigglytuff,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45
41,Zubat,Zubat,Poison,Flying,245,40,45,35,30,40,55
42,Golbat,Golbat,Poison,Flying,455,75,80,70,65,75,90
43,Oddish,Oddish,Grass,Poison,320,45,50,55,75,65,30
44,Gloom,Gloom,Grass,Poison,395,60,65,70,85,75,40
45,Vileplume,Vileplume,Grass,Poison,490,75,80,85,110,90,50
46,Paras,Paras,Bug,Grass,285,35,70,55,45,55,25
47,Parasect,Parasect,Bug,Grass,405,60,95,80,60,80,30
48,Venonat,Venonat,Bug,Poison,305,60,55,50,40,55,45
49,Venomoth,Venomoth,Bug,Poison,450,70,65,60,90,75,90
50,Diglett,Diglett,Ground,,265,10,55,25,35,45,95
50,Alolan Diglett,Diglett,Ground,Steel,265,10,55,30,35,45,90
51,Dugtrio,Dugtrio,Ground,,425,35,100,50,50,70,120
51,Alolan Dugtrio,Dugtrio,Ground,Steel,425,35,100,60,50,70,110
52,Meowth,Meowth,Normal,,290,40,45,35,40,40,90
52,Alolan Meowth,Meowth,Dark,,290,40,35,35,50,40,90
52,Galarian Meowth,Meowth,Steel,,290,50,65,55,40,40,40
53,Persian,Persian,Normal,,440,65,70,60,65,65,115
53,Alolan Persian,Persian,Dark,,440,65,60,60,75,65,115
54,Psyduck,Psyduck,Water,,320,50,52,48,65,50,55
55,Golduck,Golduck,Water,,500,80,82,78,95,80,85
56,Mankey,Mankey,Fighting,,305,40,80,35,35,45,70
57,Primeape,Primeape,Fighting,,455,65,105,60,60,70,95
58,Growlithe,Growlithe,Fire,,350,55,70,45,70,50,60
58,Hisuian Growlithe,Growlithe,Fire,Rock,350,60,75,45,65,50,55
59,Arcanine,Arcanine,Fire,,555,90,110,80,100,80,95
59,Hisuian Arcanine,Arcanine,Fire,Rock,555,95,115,80,95,80,90
60,Poliwag,Poliwag,Water,,300,40,50,40,40,40,90
61,Poliwhirl,Poliwhirl,Water,,385,65,65,65,50,50,90
62,Poliwrath,Poliwrath,Water,Fighting,510,90,95,95,70,90,70
63,Abra,Abra,Psychic,,310,25,20,15,105,55,90
64,Kadabra,Kadabra,Psychic,,400,40,35,30,120,70,105
65,Alakazam,Alakazam,Psychic,,500,55,50,45,135,95,120
65,Mega Alakazam,Alakazam,Psychic,,600,55,50,65,175,105,150
66,Machop,Machop,Fighting,,305,70,80,50,35,35,35
67,Machoke,Machoke,Fighting,,405,80,100,70,50,60,45
68,Machamp,Machamp,Fighting,,505,90,130,80,65,85,55
69,Bellsprout,Bellsprout,Grass,Poison,300,50,75,35,70,30,40
70,Weepinbell,Weepinbell,Grass,Poison,390,65,90,50,85,45,55
71,Victreebel,Victreebel,Grass,Poison,490,80,105,65,100,70,70
71,Victreebel,Victreebel,Grass,Poison,590,80,125,85,135,95,70
72,Tentacool,Tentacool,Water,Poison,335,40,40,35,50,100,70
73,Tentacruel,Tentacruel,Water,Poison,515,80,70,65,80,120,100
74,Geodude,Geodude,Rock,Ground,300,40,80,100,30,30,20
74,Alolan Geodude,Geodude,Rock,Electric,300,40,80,100,30,30,20
75,Graveler,Graveler,Rock,Ground,390,55,95,115,45,45,35
75,Alolan Graveler,Graveler,Rock,Electric,390,55,95,115,45,45,35
76,Golem,Golem,Rock,Ground,495,80,120,130,55,65,45
76,Alolan Golem,Golem,Rock,Electric,495,80,120,130,55,65,45
77,Ponyta,Ponyta,Fire,,410,50,85,55,65,65,90
77,Galarian Ponyta,Ponyta,Psychic,,410,50,85,55,65,65,90
78,Rapidash,Rapidash,Fire,,500,65,100,70,80,80,105
78,Galarian Rapidash,Rapidash,Psychic,Fairy,500,65,100,70,80,80,105
79,Slowpoke,Slowpoke,Water,Psychic,315,90,65,65,40,40,15
79,Galarian Slowpoke,Slowpoke,Psychic,,315,90,65,65,40,40,15
80,Slowbro,Slowbro,Water,Psychic,490,95,75,110,100,80,30
80,Mega Slowbro,Slowbro,Water,Psychic,590,95,75,180,130,80,30
80,Galarian Slowbro,Slowbro,Poison,Psychic,490,95,100,95,100,70,30
81,Magnemite,Magnemite,Electric,Steel,325,25,35,70,95,55,45
82,Magneton,Magneton,Electric,Steel,465,50,60,95,120,70,70
83,Farfetch'd,Farfetch'd,Normal,Flying,377,52,90,55,58,62,60
83,Galarian Farfetch'd,Farfetch'd,Fighting,,377,52,95,55,58,62,55
84,Doduo,Doduo,Normal,Flying,310,35,85,45,35,35,75
85,Dodrio,Dodrio,Normal,Flying,470,60,110,70,60,60,110
86,Seel,Seel,Water,,325,65,45,55,45,70,45
87,Dewgong,Dewgong,Water,Ice,475,90,70,80,70,95,70
88,Grimer,Grimer,Poison,,325,80,80,50,40,50,25
88,Alolan Grimer,Grimer,Poison,Dark,325,80,80,50,40,50,25
89,Muk,Muk,Poison,,500,105,105,75,65,100,50
89,Alolan Muk,Muk,Poison,Dark,500,105,105,75,65,100,50
90,Shellder,Shellder,Water,,305,30,65,100,45,25,40
91,Cloyster,Cloyster,Water,Ice,525,50,95,180,85,45,70
92,Gastly,Gastly,Ghost,Poison,310,30,35,30,100,35,80
93,Haunter,Haunter,Ghost,Poison,405,45,50,45,115,55,95
94,Gengar,Gengar,Ghost,Poison,500,60,65,60,130,75,110
94,Mega Gengar,Gengar,Ghost,Poison,600,60,65,80,170,95,130
95,Onix,Onix,Rock,Ground,385,35,45,160,30,45,70
96,Drowzee,Drowzee,Psychic,,328,60,48,45,43,90,42
97,Hypno,Hypno,Psychic,,483,85,73,70,73,115,67
98,Krabby,Krabby,Water,,325,30,105,90,25,25,50
99,Kingler,Kingler,Water,,475,55,130,115,50,50,75
100,Voltorb,Voltorb,Electric,,330,40,30,50,55,55,100
100,Hisuian Voltorb,Voltorb,Electric,Grass,330,40,30,50,55,55,100
101,Electrode,Electrode,Electric,,490,60,50,70,80,80,150
101,Hisuian Electrode,Electrode,Electric,Grass,490,60,50,70,80,80,150
102,Exeggcute,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40
103,Exeggutor,Exeggutor,Grass,Psychic,530,95,95,85,125,75,55
103,Alolan Exeggutor,Exeggutor,Grass,Dragon,530,95,105,85,125,75,45
104,Cubone,Cubone,Ground,,320,50,50,95,40,50,35
105,Marowak,Marowak,Ground,,425,60,80,110,50,80,45
105,Alolan Marowak,Marowak,Fire,Ghost,425,60,80,110,50,80,45
106,Hitmonlee,Hitmonlee,Fighting,,455,50,120,53,35,110,87
107,Hitmonchan,Hitmonchan,Fighting,,455,50,105,79,35,110,76
108,Lickitung,Lickitung,Normal,,385,90,55,75,60,75,30
109,Koffing,Koffing,Poison,,340,40,65,95,60,45,35
110,Weezing,Weezing,Poison,,490,65,90,120,85,70,60
110,Galarian Weezing,Weezing,Poison,Fairy,490,65,90,120,85,70,60
111,Rhyhorn,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25
112,Rhydon,Rhydon,Ground,Rock,485,105,130,120,45,45,40
113,Chansey,Chansey,Normal,,450,250,5,5,35,105,50
114,Tangela,Tangela,Grass,,435,65,55,115,100,40,60
115,Kangaskhan,Kangaskhan,Normal,,490,105,95,80,40,80,90
115,Mega Kangaskhan,Kangaskhan,Normal,,590,105,125,100,60,100,100
116,Horsea,Horsea,Water,,295,30,40,70,70,25,60
117,Seadra,Seadra,Water,,440,55,65,95,95,45,85
118,Goldeen,Goldeen,Water,,320,45,67,60,35,50,63
119,Seaking,Seaking,Water,,450,80,92,65,65,80,68
120,Staryu,Staryu,Water,,340,30,45,55,70,55,85
121,Starmie,Starmie,Water,Psychic,520,60,75,85,100,85,115
122,Mr. Mime,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90
122,Galarian Mr. Mime,Mr. Mime,Ice,Psychic,460,50,65,65,90,90,100
123,Scyther,Scyther,Bug,Flying,500,70,110,80,55,80,105
124,Jynx,Jynx,Ice,Psychic,455,65,50,35,115,95,95
125,Electabuzz,Electabuzz,Electric,,490,65,83,57,95,85,105
126,Magmar,Magmar,Fire,,495,65,95,57,100,85,93
127,Pinsir,Pinsir,Bug,,500,65,125,100,55,70,85
127,Mega Pinsir,Pinsir,Bug,Flying,600,65,155,120,65,90,105
128,Tauros,Tauros,Normal,,490,75,100,95,40,70,110
128,Tauros (Combat Breed),Tauros,Fighting,,490,75,110,105,30,70,100
128,Tauros (Blaze Breed),Tauros,Fighting,Fire,490,75,110,105,30,70,100
128,Tauros (Aqua Breed),Tauros,Fighting,Water,490,75,110,105,30,70,100
129,Magikarp,Magikarp,Water,,200,20,10,55,15,20,80
130,Gyarados,Gyarados,Water,Flying,540,95,125,79,60,100,81
130,Mega Gyarados,Gyarados,Water,Dark,640,95,155,109,70,130,81
131,Lapras,Lapras,Water,Ice,535,130,85,80,85,95,60
132,Ditto,Ditto,Normal,,288,48,48,48,48,48,48
133,Eevee,Eevee,Normal,,325,55,55,50,45,65,55
133,Eevee (Partner Eevee),Eevee,Normal,,435,65,75,70,65,85,75
134,Vaporeon,Vaporeon,Water,,525,130,65,60,110,95,65
135,Jolteon,Jolteon,Electric,,525,65,65,60,110,95,130
136,Flareon,Flareon,Fire,,525,65,130,60,95,110,65
137,Porygon,Porygon,Normal,,395,65,60,70,85,75,40
138,Omanyte,Omanyte,Rock,Water,355,35,40,100,90,55,35
139,Omastar,Omastar,Rock,Water,495,70,60,125,115,70,55
140,Kabuto,Kabuto,Rock,Water,355,30,80,90,55,45,55
141,Kabutops,Kabutops,Rock,Water,495,60,115,105,65,70,80
142,Aerodactyl,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130
142,Mega Aerodactyl,Aerodactyl,Rock,Flying,615,80,135,85,70,95,150
143,Snorlax,Snorlax,Normal,,540,160,110,65,65,110,30
144,Articuno,Articuno,Ice,Flying,580,90,85,100,95,125,85
144,Galarian Articuno,Articuno,Psychic,Flying,580,90,85,85,125,100,95
145,Zapdos,Zapdos,Electric,Flying,580,90,90,85,125,90,100
145,Galarian Zapdos,Zapdos,Fighting,Flying,580,90,125,90,85,90,100
146,Moltres,Moltres,Fire,Flying,580,90,100,90,125,85,90
146,Galarian Moltres,Moltres,Dark,Flying,580,90,85,90,100,125,90
147,Dratini,Dratini,Dragon,,300,41,64,45,50,50,50
148,Dragonair,Dragonair,Dragon,,420,61,84,65,70,70,70
149,Dragonite,Dragonite,Dragon,Flying,600,91,134,95,100,100,80
149,Dragonite,Dragonite,Dragon,Flying,700,91,124,115,145,125,100
150,Mewtwo,Mewtwo,Psychic,,680,106,110,90,154,90,130
150,Mega Mewtwo X,Mewtwo,Psychic,Fighting,780,106,190,100,154,100,130
150,Mega Mewtwo Y,Mewtwo,Psychic,,780,106,150,70,194,120,140
151,Mew,Mew,Psychic,,600,100,100,100,100,100,100
152,Chikorita,Chikorita,Grass,,318,45,49,65,49,65,45
153,Bayleef,Bayleef,Grass,,405,60,62,80,63,80,60
154,Meganium,Meganium,Grass,,525,80,82,100,83,100,80
155,Cyndaquil,Cyndaquil,Fire,,309,39,52,43,60,50,65
156,Quilava,Quilava,Fire,,405,58,64,58,80,65,80
157,Typhlosion,Typhlosion,Fire,,534,78,84,78,109,85,100
157,Hisuian Typhlosion,Typhlosion,Fire,Ghost,534,73,84,78,119,85,95
158,Totodile,Totodile,Water,,314,50,65,64,44,48,43
159,Croconaw,Croconaw,Water,,405,65,80,80,59,63,58
160,Feraligatr,Feraligatr,Water,,530,85,105,100,79,83,78
161,Sentret,Sentret,Normal,,215,35,46,34,35,45,20
162,Furret,Furret,Normal,,415,85,76,64,45,55,90
163,Hoothoot,Hoothoot,Normal,Flying,262,60,30,30,36,56,50
164,Noctowl,Noctowl,Normal,Flying,452,100,50,50,86,96,70
165,Ledyba,Ledyba,Bug,Flying,265,40,20,30,40,80,55
166,Ledian,Ledian,Bug,Flying,390,55,35,50,55,110,85
167,Spinarak,Spinarak,Bug,Poison,250,40,60,40,40,40,30
168,Ariados,Ariados,Bug,Poison,400,70,90,70,60,70,40
169,Crobat,Crobat,Poison,Flying,535,85,90,80,70,80,130
170,Chinchou,Chinchou,Water,Electric,330,75,38,38,56,56,67
171,Lanturn,Lanturn,Water,Electric,460,125,58,58,76,76,67
172,Pichu,Pichu,Electric,,205,20,40,15,35,35,60
173,Cleffa,Cleffa,Fairy,,218,50,25,28,45,55,15
174,Igglybuff,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15
175,Togepi,Togepi,Fairy,,245,35,20,65,40,65,20
176,Togetic,Togetic,Fairy,Flying,405,55,40,85,80,105,40
177,Natu,Natu,Psychic,Flying,320,40,50,45,70,45,70
178,Xatu,Xatu,Psychic,Flying,470,65,75,70,95,70,95
179,Mareep,Mareep,Electric,,280,55,40,40,65,45,35
180,Flaaffy,Flaaffy,Electric,,365,70,55,55,80,60,45
