dexNum,name,baseName,slug,type1,type2,evolvesFromName,evolvesFromDexNum,evolvesFromCondition,evolvesTo
1,Bulbasaur,Bulbasaur,bulbasaur,Grass,Poison,,,,Ivysaur (Level 16)
2,Ivysaur,Ivysaur,ivysaur,Grass,Poison,Bulbasaur,1,Level 16,Venusaur (Level 32)
3,Venusaur,Venusaur,venusaur,Grass,Poison,Ivysaur,2,Level 32,
4,Charmander,Charmander,charmander,Fire,,,,,Charmeleon (Level 16)
5,Charmeleon,Charmeleon,charmeleon,Fire,,Charmander,4,Level 16,Charizard (Level 36)
6,Charizard,Charizard,charizard,Fire,Flying,Charmeleon,5,Level 36,
7,Squirtle,Squirtle,squirtle,Water,,,,,Wartortle (Level 16)
8,Wartortle,Wartortle,wartortle,Water,,Squirtle,7,Level 16,Blastoise (Level 36)
9,Blastoise,Blastoise,blastoise,Water,,Wartortle,8,Level 36,
10,Caterpie,Caterpie,caterpie,Bug,,,,,Metapod (Level 7)
11,Metapod,Metapod,metapod,Bug,,Caterpie,10,Level 7,Butterfree (Level 10)
12,Butterfree,Butterfree,butterfree,Bug,Flying,Metapod,11,Level 10,
13,Weedle,Weedle,weedle,Bug,Poison,,,,Kakuna (Level 7)
14,Kakuna,Kakuna,kakuna,Bug,Poison,Weedle,13,Level 7,Beedrill (Level 10)
15,Beedrill,Beedrill,beedrill,Bug,Poison,Kakuna,14,Level 10,
16,Pidgey,Pidgey,pidgey,Normal,Flying,,,,Pidgeotto (Level 18)
17,Pidgeotto,Pidgeotto,pidgeotto,Normal,Flying,Pidgey,16,Level 18,Pidgeot (Level 36)
18,Pidgeot,Pidgeot,pidgeot,Normal,Flying,Pidgeotto,17,Level 36,
19,Rattata,Rattata,rattata,Normal,,,,,Raticate (Level 20)
20,Raticate,Raticate,raticate,Normal,,Rattata,19,Level 20,
21,Spearow,Spearow,spearow,Normal,Flying,,,,Fearow (Level 20)
22,Fearow,Fearow,fearow,Normal,Flying,Spearow,21,Level 20,
23,Ekans,Ekans,ekans,Poison,,,,,Arbok (Level 22)
24,Arbok,Arbok,arbok,Poison,,Ekans,23,Level 22,
25,Pikachu,Pikachu,pikachu,Electric,,Pichu,172,high Friendship,"Raichu (use Thunder Stone, outside Alola); Alolan Raichu (use Thunder Stone, in Alola)"
26,Alolan Raichu,Raichu,raichu,Electric,Psychic,Pikachu,25,"use Thunder Stone, in Alola",
26,Raichu,Raichu,raichu,Electric,,Pikachu,25,"use Thunder Stone, outside Alola",
27,Sandshrew,Sandshrew,sandshrew,Ground,,,,,Sandslash (Level 22)
28,Sandslash,Sandslash,sandslash,Ground,,Sandshrew,27,Level 22,
29,Nidoran♀,Nidoran♀,nidoran-f,Poison,,,,,Nidorina (Level 16)
30,Nidorina,Nidorina,nidorina,Poison,,Nidoran♀,29,Level 16,Nidoqueen (use Moon Stone)
